ts,Open,High,Low,Close,Volume
2026-09-11 10:00:00-04:00,332.4,332.93,331.66,331.7,1549627
2026-09-11 10:15:00-04:00,331.74,334.59,331.66,334.09,2193073
2026-09-11 10:30:00-04:00,334.09,334.91,332.42,334.7,2645416
2026-09-11 10:45:00-04:00,334.71,335.43,334.21,334.96,2772935
2026-09-11 11:00:00-04:00,335.02,336.22,334.94,335.54,2147363
2026-09-11 11:15:00-04:00,335.52,336.16,335.08,335.57,1453223
2026-09-11 11:30:00-04:00,335.54,335.54,334.62,334.78,1315939
2026-09-11 11:45:00-04:00,334.79,334.85,333.69,333.92,1273282
2026-09-11 12:00:00-04:00,333.94,334.77,333.63,334.71,1137452
2026-09-11 12:15:00-04:00,334.67,334.84,333.96,334.17,1013205
2026-09-11 12:30:00-04:00,334.19,334.44,333.93,334.13,747508
2026-09-11 12:45:00-04:00,334.15,334.83,333.93,334.74,717126
2026-09-11 13:00:00-04:00,334.74,334.85,334.12,334.34,573518
2026-09-11 13:15:00-04:00,334.36,334.47,333.83,333.95,542171
2026-09-11 13:30:00-04:00,333.96,334.3,333.13,333.28,808389
