ts,Close,High,Low,Open,Volume,ma8,ma10,ma21,ma50,ma100,ma200,ema8,ema21,ema34,ema55,ema89,ema144,ema200,rsi21,macd,macd_sig,macd_hist,vma10,rvol10,vwap,atr14
2026-09-08 11:15:00-04:00,316.2491,316.78,315.75,316.205,811968,316.3109,317.1157,319.3334,322.512,324.2302,320.6291,316.8364,318.7475,320.1031,321.4152,322.0352,321.4873,320.4645,30.8072,-1.8131,-1.5722,-0.2409,1579064.3,0.5142,316.7658,1.1358
2026-09-08 11:30:00-04:00,316.415,316.81,316.02,316.245,727123,316.173,316.6892,319.1136,322.2399,324.139,320.6472,316.7428,318.5355,319.8924,321.2367,321.9103,321.4173,320.4243,31.7938,-1.7661,-1.611,-0.1551,1563239.0,0.4651,316.7449,1.1111
2026-09-08 11:45:00-04:00,316.0799,316.6,316.0,316.41,649119,316.0705,316.2982,318.8694,321.9601,324.0412,320.6629,316.5955,318.3122,319.6745,321.0525,321.7807,321.3437,320.381,30.8604,-1.7359,-1.636,-0.0999,1287119.8,0.5043,316.7188,1.0746
2026-09-08 12:00:00-04:00,315.595,316.268,315.54,316.065,696096,316.0342,316.1059,318.5794,321.6754,323.9465,320.6768,316.3731,318.0652,319.4414,320.8576,321.6433,321.2644,320.3334,29.5428,-1.7311,-1.655,-0.0761,972942.9,0.7155,316.6717,1.0498
2026-09-08 12:15:00-04:00,316.085,316.14,315.46,315.59,721260,316.0861,316.0244,318.347,321.4183,323.8609,320.692,316.3091,317.8852,319.2496,320.6871,321.5198,321.193,320.2911,32.5964,-1.6685,-1.6577,-0.0108,918251.4,0.7855,316.6325,1.0234
2026-09-08 12:30:00-04:00,316.09,316.1799,315.88,316.1,545711,316.0861,316.0449,318.1125,321.1778,323.7731,320.704,316.2604,317.722,319.069,320.5229,321.3991,321.1226,320.2493,32.6277,-1.6001,-1.6462,0.0461,837741.1,0.6514,316.6111,0.9717
2026-09-08 12:45:00-04:00,315.99,316.18,315.75,316.08,526867,316.088,316.0769,317.861,320.943,323.6809,320.7112,316.2003,317.5645,318.8931,320.3611,321.2789,321.0518,320.2069,32.3127,-1.5362,-1.6242,0.088,749496.4,0.703,316.5892,0.9331
2026-09-08 13:00:00-04:00,316.185,316.56,315.95,315.99,532571,316.0861,316.0864,317.6375,320.7283,323.5935,320.7167,316.1969,317.4391,318.7383,320.2119,321.1657,320.9847,320.1669,33.6247,-1.4531,-1.59,0.1368,707458.9,0.7528,316.5772,0.91
2026-09-08 13:15:00-04:00,316.27,316.28,315.79,316.17,438630,316.0887,316.1159,317.3956,320.5157,323.5041,320.7239,316.2132,317.3328,318.5973,320.0711,321.0569,320.9196,320.1282,34.2083,-1.3647,-1.5449,0.1802,669624.0,0.655,316.5648,0.88
2026-09-08 13:30:00-04:00,316.26,316.33,316.04,316.272,576982,316.0694,316.1219,317.1382,320.2943,323.4213,320.729,316.2236,317.2353,318.4637,319.935,320.9503,320.8554,320.0897,34.1712,-1.2806,-1.492,0.2114,622632.7,0.9267,316.5527,0.8378
