ts,close,level,buy_price,stop,target,score,n_events,tfs,dist_atr,filled,outcome,ret_pct
2024-12-11 14:30:00-05:00,243.37,248.0,248.07,248.0,249.39,10.6,9,1h+4h,1.105,False,nofill,0.0
2024-12-11 15:30:00-05:00,243.57,248.0,248.06,248.0,249.34,10.6,9,1h+4h,1.057,False,nofill,0.0
2024-12-12 09:30:00-05:00,242.69,248.34,248.41,248.34,249.77,12.4,10,1h+4h,1.377,False,nofill,0.0
2024-12-12 10:30:00-05:00,242.42,248.34,248.41,248.34,249.76,12.4,10,1h+4h,1.443,False,nofill,0.0
2024-12-12 11:30:00-05:00,241.77,248.34,248.41,248.34,249.72,12.4,10,1h+4h,1.601,False,nofill,0.0
2024-12-12 12:30:00-05:00,241.53,248.34,248.4,248.34,249.68,12.4,10,1h+4h,1.66,False,nofill,0.0
2024-12-12 13:30:00-05:00,241.16,248.34,248.4,248.34,249.63,12.4,10,1h+4h,1.75,False,nofill,0.0
2024-12-12 14:30:00-05:00,242.2,248.34,248.4,248.34,249.63,12.4,10,1h+4h,1.495,False,nofill,0.0
2024-12-12 15:30:00-05:00,241.54,248.34,248.4,248.34,249.61,12.4,10,1h+4h,1.657,False,nofill,0.0
2024-12-13 09:30:00-05:00,239.58,247.35,247.42,247.35,248.8,11.4,9,1h+4h,1.915,False,nofill,0.0
2024-12-13 10:30:00-05:00,240.14,248.0,248.07,248.0,249.42,11.4,9,1h+4h,1.938,False,nofill,0.0
2024-12-13 11:30:00-05:00,239.45,247.35,247.42,247.35,248.74,11.4,9,1h+4h,1.947,False,nofill,0.0
2024-12-13 12:30:00-05:00,240.09,248.0,248.06,248.0,249.36,11.4,9,1h+4h,1.95,False,nofill,0.0
2024-12-13 13:30:00-05:00,239.74,247.35,247.41,247.35,248.67,11.4,9,1h+4h,1.875,False,nofill,0.0
2024-12-13 14:30:00-05:00,239.6,247.35,247.41,247.35,248.61,11.4,9,1h+4h,1.909,False,nofill,0.0
2024-12-13 15:30:00-05:00,239.97,248.0,248.06,248.0,249.23,11.4,9,1h+4h,1.979,False,nofill,0.0
2024-12-16 09:30:00-05:00,237.96,238.64,238.71,238.64,240.02,16.6,9,1d+1h+4h,0.171,True,target,0.48868999092719356
2024-12-16 10:30:00-05:00,239.15,239.39,239.46,239.39,240.77,16.6,9,1d+1h+4h,0.06,True,scratch,-0.08731392460490373
2024-12-16 11:30:00-05:00,239.32,247.18,247.24,247.18,248.54,10.4,8,1h+4h,1.973,False,nofill,0.0
2024-12-16 12:30:00-05:00,239.96,247.87,247.93,247.87,249.2,11.4,9,1h+4h,1.985,False,nofill,0.0
2024-12-16 13:30:00-05:00,239.56,247.35,247.41,247.35,248.64,11.4,9,1h+4h,1.955,False,nofill,0.0
2024-12-16 14:30:00-05:00,240.12,248.0,248.06,248.0,249.26,11.4,9,1h+4h,1.977,False,nofill,0.0
2024-12-16 15:30:00-05:00,239.83,247.35,247.41,247.35,248.59,11.4,9,1h+4h,1.888,False,nofill,0.0
2024-12-17 09:30:00-05:00,237.42,238.64,238.71,238.64,240.01,16.6,9,1d+1h+4h,0.314,False,nofill,0.0
2024-12-17 10:30:00-05:00,237.49,238.64,238.7,238.64,239.98,16.6,9,1d+1h+4h,0.295,False,nofill,0.0
2024-12-17 11:30:00-05:00,237.14,239.46,239.52,239.46,240.79,17.6,10,1d+1h+4h,0.594,False,nofill,0.0
2024-12-17 12:30:00-05:00,236.84,239.46,239.52,239.46,240.75,17.6,10,1d+1h+4h,0.671,False,nofill,0.0
2024-12-17 13:30:00-05:00,237.26,239.34,239.4,239.34,240.61,17.6,10,1d+1h+4h,0.533,False,nofill,0.0
2024-12-17 14:30:00-05:00,237.78,239.34,239.4,239.34,240.59,17.6,10,1d+1h+4h,0.4,False,nofill,0.0
2024-12-17 15:30:00-05:00,238.36,239.34,239.4,239.34,240.58,17.6,10,1d+1h+4h,0.251,False,nofill,0.0
2024-12-18 09:30:00-05:00,238.09,239.34,239.4,239.34,240.59,17.6,10,1d+1h+4h,0.292,False,nofill,0.0
2024-12-18 10:30:00-05:00,237.43,239.34,239.4,239.34,240.66,17.6,10,1d+1h+4h,0.446,False,nofill,0.0
2024-12-18 11:30:00-05:00,238.03,239.34,239.4,239.34,240.65,17.6,10,1d+1h+4h,0.307,False,nofill,0.0
2024-12-18 12:30:00-05:00,237.32,238.64,238.7,238.64,239.92,17.6,10,1d+1h+4h,0.308,False,nofill,0.0
2024-12-18 13:30:00-05:00,234.98,239.46,239.53,239.46,240.87,17.6,10,1d+1h+4h,1.046,False,nofill,0.0
2024-12-18 14:30:00-05:00,233.1,239.14,239.22,239.14,240.66,17.6,10,1d+1h+4h,1.411,False,nofill,0.0
2024-12-18 15:30:00-05:00,230.34,238.64,238.72,238.64,240.33,17.6,10,1d+1h+4h,1.938,False,nofill,0.0
2024-12-19 09:30:00-05:00,233.96,239.46,239.55,239.46,241.48,17.6,10,1d+1h+4h,1.254,False,nofill,0.0
