ts,close,level,buy_price,stop,target,score,n_events,tfs,dist_atr,filled,outcome,ret_pct
2025-04-02 10:30:00-04:00,110.25,115.42,115.51,115.42,117.27,47.2,32,1d+1h+4h,0.932,False,nofill,0.0
2025-04-02 11:30:00-04:00,111.15,115.42,115.51,115.42,117.26,47.2,32,1d+1h+4h,0.769,False,nofill,0.0
2025-04-02 12:30:00-04:00,111.24,115.42,115.51,115.42,117.26,47.2,32,1d+1h+4h,0.754,False,nofill,0.0
2025-04-02 13:30:00-04:00,109.32,115.42,115.51,115.42,117.27,47.2,32,1d+1h+4h,1.099,False,nofill,0.0
2025-04-02 14:30:00-04:00,109.65,115.38,115.47,115.38,117.2,47.2,32,1d+1h+4h,1.033,False,nofill,0.0
2025-04-02 15:30:00-04:00,110.38,115.38,115.47,115.38,117.17,47.2,32,1d+1h+4h,0.901,False,nofill,0.0
2025-04-03 09:30:00-04:00,105.15,115.79,115.89,115.79,117.99,49.0,33,1d+1h+4h,1.841,False,nofill,0.0
2025-04-03 10:30:00-04:00,102.97,114.07,114.18,114.07,116.37,33.8,23,1d+1h+4h,1.921,False,nofill,0.0
2025-04-03 11:30:00-04:00,103.66,115.14,115.25,115.14,117.37,43.2,30,1d+1h+4h,1.986,False,nofill,0.0
2025-04-03 12:30:00-04:00,103.02,114.05,114.15,114.05,116.2,33.8,23,1d+1h+4h,1.908,False,nofill,0.0
2025-04-03 13:30:00-04:00,102.62,114.07,114.17,114.07,116.15,33.8,23,1d+1h+4h,1.98,False,nofill,0.0
2025-04-03 14:30:00-04:00,102.67,114.07,114.17,114.07,116.12,33.8,23,1d+1h+4h,1.973,False,nofill,0.0
2025-04-03 15:30:00-04:00,102.01,113.48,113.57,113.48,115.46,28.2,19,1d+1h+4h,1.985,False,nofill,0.0
2025-04-04 09:30:00-04:00,94.61,96.02,96.13,96.02,98.41,22.2,13,1d+1h+4h,0.233,True,scratch,-0.1786030008980477
2025-04-04 10:30:00-04:00,95.1,96.02,96.14,96.02,98.58,22.2,13,1d+1h+4h,0.152,False,nofill,0.0
2025-04-04 11:30:00-04:00,93.83,96.02,96.14,96.02,98.56,22.2,13,1d+1h+4h,0.361,False,nofill,0.0
2025-04-04 12:30:00-04:00,94.1,96.02,96.14,96.02,98.48,22.2,13,1d+1h+4h,0.317,True,scratch,-0.18186015692288615
2025-04-04 13:30:00-04:00,94.01,96.02,96.14,96.02,98.49,22.2,13,1d+1h+4h,0.332,True,scratch,-0.18230565107949515
2025-04-04 14:30:00-04:00,95.16,96.02,96.14,96.02,98.48,22.2,13,1d+1h+4h,0.141,True,scratch,-0.18208966692963013
2025-04-04 15:30:00-04:00,94.32,96.02,96.13,96.02,98.47,22.2,13,1d+1h+4h,0.28,True,scratch,-0.1814252056029364
2025-04-07 09:30:00-04:00,93.61,96.38,96.54,96.38,99.79,22.2,13,1d+1h+4h,0.413,True,scratch,-0.22814669920001585
2025-04-07 10:30:00-04:00,93.88,96.02,96.19,96.02,99.66,22.2,13,1d+1h+4h,0.319,True,scratch,-0.23992547633757688
2025-04-07 11:30:00-04:00,95.87,96.38,96.55,96.38,100.03,22.2,13,1d+1h+4h,0.075,True,scratch,-0.2401683758841977
2025-04-07 12:30:00-04:00,98.23,111.58,111.75,111.58,115.24,25.2,18,1d+1h+4h,1.991,False,nofill,0.0
2025-04-07 13:30:00-04:00,97.41,107.56,107.73,107.56,111.14,21.4,17,1d+1h+4h,1.514,False,nofill,0.0
2025-04-07 14:30:00-04:00,96.65,97.12,97.29,97.12,100.65,22.2,13,1d+1h+4h,0.071,True,target,3.3881572151147177
2025-04-07 15:30:00-04:00,97.71,107.56,107.72,107.56,110.99,21.4,17,1d+1h+4h,1.47,False,nofill,0.0
2025-04-08 09:30:00-04:00,104.73,116.56,116.74,116.56,120.36,53.2,36,1d+1h+4h,1.682,False,nofill,0.0
2025-04-08 10:30:00-04:00,102.06,116.12,116.3,116.12,119.89,51.2,34,1d+1h+4h,1.999,False,nofill,0.0
2025-04-08 11:30:00-04:00,101.58,115.42,115.6,115.42,119.17,50.0,34,1d+1h+4h,1.967,False,nofill,0.0
2025-04-08 12:30:00-04:00,98.78,112.72,112.89,112.72,116.43,25.4,19,1d+1h+4h,1.981,False,nofill,0.0
2025-04-08 13:30:00-04:00,99.43,113.48,113.65,113.48,117.11,34.8,24,1d+1h+4h,1.997,False,nofill,0.0
2025-04-08 14:30:00-04:00,96.32,105.25,105.43,105.25,109.05,25.0,17,1d+1h+4h,1.269,False,nofill,0.0
2025-04-08 15:30:00-04:00,96.71,105.25,105.43,105.25,108.95,25.0,17,1d+1h+4h,1.214,False,nofill,0.0
2025-04-09 09:30:00-04:00,99.98,114.83,115.01,114.83,118.61,54.0,36,1d+1h+4h,1.887,False,nofill,0.0
2025-04-09 10:30:00-04:00,99.17,114.86,115.04,114.86,118.6,54.0,36,1d+1h+4h,1.993,False,nofill,0.0
2025-04-09 11:30:00-04:00,99.44,114.83,115.0,114.83,118.43,54.0,36,1d+1h+4h,1.955,False,nofill,0.0
2025-04-09 12:30:00-04:00,106.47,116.28,116.48,116.28,120.43,58.8,40,1d+1h+4h,1.246,False,nofill,0.0
2025-04-09 13:30:00-04:00,112.03,116.2,116.42,116.2,120.91,58.8,40,1d+1h+4h,0.53,False,nofill,0.0
2025-04-09 14:30:00-04:00,112.79,116.25,116.47,116.25,120.86,58.8,40,1d+1h+4h,0.44,False,nofill,0.0
