ts,close,level,buy_price,stop,target,score,n_events,tfs,dist_atr,filled,outcome,ret_pct
2025-08-22 12:30:00-04:00,507.86,511.2,511.34,511.2,514.04,15.8,9,1d+1h+4h,0.393,False,nofill,0.0
2025-08-22 13:30:00-04:00,507.89,511.2,511.33,511.2,513.93,16.8,10,1d+1h+4h,0.39,False,nofill,0.0
2025-08-22 14:30:00-04:00,507.1,511.2,511.33,511.2,513.83,16.8,10,1d+1h+4h,0.482,False,nofill,0.0
2025-08-22 15:30:00-04:00,507.1,511.2,511.32,511.2,513.8,16.8,10,1d+1h+4h,0.482,False,nofill,0.0
2025-08-25 09:30:00-04:00,507.21,511.2,511.33,511.2,513.89,16.8,10,1d+1h+4h,0.488,False,nofill,0.0
2025-08-25 10:30:00-04:00,507.4,511.2,511.32,511.2,513.81,16.8,10,1d+1h+4h,0.464,False,nofill,0.0
2025-08-25 11:30:00-04:00,507.25,511.2,511.32,511.2,513.7,16.8,10,1d+1h+4h,0.483,False,nofill,0.0
2025-08-25 12:30:00-04:00,505.8,511.2,511.32,511.2,513.65,16.8,10,1d+1h+4h,0.66,False,nofill,0.0
2025-08-25 13:30:00-04:00,505.5,511.2,511.31,511.2,513.56,18.6,11,1d+1h+4h,0.697,False,nofill,0.0
2025-08-25 14:30:00-04:00,505.24,511.2,511.31,511.2,513.47,18.6,11,1d+1h+4h,0.728,False,nofill,0.0
2025-08-25 15:30:00-04:00,504.38,511.2,511.31,511.2,513.41,18.6,11,1d+1h+4h,0.833,False,nofill,0.0
2025-08-26 09:30:00-04:00,504.45,511.91,512.02,511.91,514.18,15.6,10,1d+1h+4h,0.926,False,nofill,0.0
2025-08-26 10:30:00-04:00,502.7,510.67,510.78,510.67,512.92,15.6,10,1d+1h+4h,0.989,False,nofill,0.0
2025-08-26 11:30:00-04:00,502.29,502.72,502.82,502.72,504.86,17.4,11,1d+1h+4h,0.053,False,nofill,0.0
2025-08-26 12:30:00-04:00,500.38,501.03,501.13,501.03,503.17,19.0,13,1d+1h+4h,0.081,True,scratch,-0.08032710408307775
2025-08-26 13:30:00-04:00,498.82,500.7,500.8,500.7,502.83,19.0,13,1d+1h+4h,0.233,True,scratch,-0.08026181424410916
