ts,close,level,buy_price,stop,target,score,n_events,tfs,dist_atr,filled,outcome,ret_pct
2026-01-27 14:30:00-05:00,433.79,443.13,443.31,443.13,446.94,32.0,24,1d+1h+4h,0.642,False,nofill,0.0
2026-01-27 15:30:00-05:00,430.91,443.13,443.31,443.13,446.9,32.0,24,1d+1h+4h,0.84,False,nofill,0.0
2026-01-28 09:30:00-05:00,434.68,452.3,452.49,452.3,456.35,32.0,22,1d+1h+4h,1.251,False,nofill,0.0
2026-01-28 10:30:00-05:00,434.09,451.68,451.87,451.68,455.66,32.0,22,1d+1h+4h,1.248,False,nofill,0.0
2026-01-28 11:30:00-05:00,433.12,452.3,452.49,452.3,456.24,32.0,22,1d+1h+4h,1.361,False,nofill,0.0
2026-01-28 12:30:00-05:00,434.82,452.3,452.49,452.3,456.19,32.0,22,1d+1h+4h,1.24,False,nofill,0.0
2026-01-28 13:30:00-05:00,432.88,452.43,452.61,452.43,456.25,32.0,22,1d+1h+4h,1.387,False,nofill,0.0
2026-01-28 14:30:00-05:00,434.3,451.68,451.86,451.68,455.55,32.0,22,1d+1h+4h,1.234,False,nofill,0.0
2026-01-28 15:30:00-05:00,431.24,451.46,451.65,451.46,455.38,32.0,22,1d+1h+4h,1.435,False,nofill,0.0
2026-01-29 09:30:00-05:00,422.24,425.52,425.76,425.52,430.58,42.4,30,1d+1h+4h,0.22,False,nofill,0.0
2026-01-29 10:30:00-05:00,421.9,425.3,425.55,425.3,430.64,42.4,30,1d+1h+4h,0.228,False,nofill,0.0
2026-01-29 11:30:00-05:00,424.21,425.52,425.78,425.52,430.89,42.4,30,1d+1h+4h,0.088,False,nofill,0.0
2026-01-29 12:30:00-05:00,421.87,422.64,422.9,422.64,428.0,43.2,28,1d+1h+4h,0.052,True,scratch,-0.12031421905814854
2026-01-29 13:30:00-05:00,420.36,422.64,422.89,422.64,427.85,43.2,28,1d+1h+4h,0.153,True,target,1.1133281111236348
2026-01-29 14:30:00-05:00,415.51,419.08,419.33,419.08,424.32,47.4,29,1d+1h+4h,0.239,True,target,1.129503183067393
2026-01-29 15:30:00-05:00,416.44,419.08,419.32,419.08,424.14,47.4,29,1d+1h+4h,0.177,True,target,1.0889953125059249
2026-01-30 09:30:00-05:00,433.54,451.02,451.31,451.02,457.14,35.8,25,1d+1h+4h,1.127,False,nofill,0.0
2026-01-30 10:30:00-05:00,438.44,450.98,451.28,450.98,457.36,35.8,25,1d+1h+4h,0.808,False,nofill,0.0
2026-01-30 11:30:00-05:00,438.46,450.98,451.28,450.98,457.35,35.8,25,1d+1h+4h,0.807,False,nofill,0.0
2026-01-30 12:30:00-05:00,434.67,450.98,451.29,450.98,457.44,35.8,25,1d+1h+4h,1.051,False,nofill,0.0
2026-01-30 13:30:00-05:00,433.8,451.02,451.32,451.02,457.35,35.8,25,1d+1h+4h,1.11,False,nofill,0.0
2026-01-30 14:30:00-05:00,430.66,442.05,442.35,442.05,448.32,35.8,27,1d+1h+4h,0.734,False,nofill,0.0
2026-01-30 15:30:00-05:00,430.44,442.05,442.34,442.05,448.24,35.8,27,1d+1h+4h,0.749,False,nofill,0.0
2026-02-02 09:30:00-05:00,420.13,422.64,422.97,422.64,429.58,47.0,31,1d+1h+4h,0.161,True,scratch,-0.1381033962664202
2026-02-02 10:30:00-05:00,419.49,422.64,422.96,422.64,429.38,47.0,31,1d+1h+4h,0.203,True,scratch,-0.13584139095036418
2026-02-02 11:30:00-05:00,423.33,425.7,426.02,425.7,432.34,44.4,32,1d+1h+4h,0.153,True,scratch,-0.13414876181632174
2026-02-02 12:30:00-05:00,426.31,451.02,451.33,451.02,457.51,35.8,25,1d+1h+4h,1.59,False,nofill,0.0
2026-02-02 13:30:00-05:00,425.7,426.88,427.17,426.88,433.04,39.8,31,1d+1h+4h,0.076,False,nofill,0.0
2026-02-02 14:30:00-05:00,423.92,425.7,425.98,425.7,431.65,44.4,32,1d+1h+4h,0.114,True,scratch,-0.12650417949735537
2026-02-02 15:30:00-05:00,421.78,422.64,422.91,422.64,428.34,47.0,31,1d+1h+4h,0.055,True,scratch,-0.12415576314284138
2026-02-03 09:30:00-05:00,422.86,425.7,425.97,425.7,431.43,45.4,33,1d+1h+4h,0.184,True,scratch,-0.12397009263601655
2026-02-03 10:30:00-05:00,423.18,425.7,425.98,425.7,431.51,45.4,33,1d+1h+4h,0.163,True,scratch,-0.12488725873247564
2026-02-03 11:30:00-05:00,420.84,422.64,422.92,422.64,428.61,47.0,31,1d+1h+4h,0.116,False,nofill,0.0
2026-02-03 12:30:00-05:00,418.11,419.08,419.36,419.08,424.96,47.4,29,1d+1h+4h,0.063,True,scratch,-0.1267534147341154
2026-02-03 13:30:00-05:00,415.87,417.64,417.92,417.64,423.49,52.4,32,1d+1h+4h,0.114,True,scratch,-0.1265962431376111
2026-02-03 14:30:00-05:00,418.59,422.64,422.91,422.64,428.4,47.0,31,1d+1h+4h,0.261,True,scratch,-0.12481243801547581
