ticker,strategy,side,grade,train_n,train_win_rate,train_avg_win_R,train_expectancy_R,train_profit_factor,train_max_dd_R,test_n,test_win_rate,test_avg_win_R,test_expectancy_R,test_profit_factor,test_max_dd_R
WMT,breakout,short,B (thin),0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
WMT,retest,long,B (thin),11,0.2727272727272727,1.4743466618657466,-0.36544654446269326,0.5238736402692001,5.282354812391143,1,1.0,1.9754392106380163,1.9754392106380163,99.0,0.0
WMT,retest,short,B (thin),0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,-0.3550593164644525,0.0,0.0
AMD,pullback,long,B (thin),0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,-1.0120677872746133,0.0,0.0
AMD,pullback,short,B (thin),0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
AMD,breakout,long,B (thin),0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
AMD,breakout,short,B (thin),0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
AMD,retest,long,B (thin),7,0.5714285714285714,1.9872580547501122,0.6965474276087595,2.5865650250916,1.014633522786331,5,0.2,1.991789523141894,-0.4112646092505157,0.49202918372396726,4.048112569394473
AMD,retest,short,B (thin),0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
V,pullback,long,B (thin),0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
V,pullback,short,B (thin),1,1.0,1.9182140659985936,1.9182140659985936,99.0,0.0,0,0.0,0.0,0.0,0.0,0.0
V,breakout,long,B (thin),1,0.0,0.0,-1.057369892130589,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
V,breakout,short,B (thin),0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
V,retest,long,B (thin),4,0.0,0.0,-0.8494931035517241,0.0,2.3721693618181514,2,0.5,1.9706379613313514,0.4717474343710144,1.9185622485797718,0.0
V,retest,short,B (thin),9,0.3333333333333333,1.9596078142865405,-0.035767932399884836,0.9480849608646309,2.2068988089568666,2,0.5,1.9683192301410055,0.46656142781711096,1.9013969509686564,1.0351963745067836
JNJ,pullback,long,B (thin),2,0.0,0.0,-1.1176255638357482,0.0,1.141987662575783,0,0.0,0.0,0.0,0.0,0.0
JNJ,pullback,short,B (thin),0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
JNJ,breakout,long,B (thin),0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
JNJ,breakout,short,B (thin),0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
JNJ,retest,long,B (thin),8,0.25,1.9756675656886458,-0.2812676371616225,0.6371604091796288,4.219356141691688,6,0.5,1.9644054420281893,0.4609288206633091,1.8842353709885187,1.0419407714165663
JNJ,retest,short,B (thin),0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
XOM,pullback,long,B (thin),3,0.3333333333333333,1.9330174865860423,-0.07758288993977991,0.8925328715055539,1.1098493038274901,0,0.0,0.0,0.0,0.0,0.0
XOM,pullback,short,B (thin),0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
XOM,breakout,long,B (thin),0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
XOM,breakout,short,B (thin),0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
XOM,retest,long,B (thin),13,0.38461538461538464,1.948241776719355,0.10112136806039541,1.1560027690034431,5.440804336721667,5,0.2,1.9819016933907307,-0.4388633950115287,0.47456846749049264,2.1089160396037427
XOM,retest,short,B (thin),0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
