strategy,side,adx_min,exit,train_n,train_wr,train_exp,train_pf,train_mae,train_mfe,test_n,test_wr,test_exp,test_pf,test_mae,test_mfe
pullback,long,25,trail2.5,79,0.20253164556962025,0.018978075898895583,1.0222349803997663,-1.8470715370815498,3.7341375630659996,26,0.23076923076923078,0.4116248373644576,1.4664892636807776,-1.5544885690929193,3.2605659691440136
pullback,long,25,trail3.0,79,0.1518987341772152,-0.18620055854888393,0.7953893037439461,-1.9831527338745403,3.7360629511384102,26,0.19230769230769232,0.20585556731186697,1.233164261490646,-1.5640276654827021,3.2605659691440136
pullback,short,0,fixed2.0,848,0.30778301886792453,-0.13481020431774768,0.8149624337673987,-0.05644011029779945,0.15024398607652434,429,0.32634032634032634,-0.07216052988460671,0.8980507023220314,-0.055008518084244555,0.17602721326218476
pullback,short,0,fixed3.0,837,0.21983273596176822,-0.18355365851909086,0.7762737135730108,-0.08433384936695086,0.31159312110680576,426,0.23943661971830985,-0.09959395716675554,0.8752732123808545,-0.07624316379959967,0.3707201311611022
pullback,short,0,trail2.5,828,0.10869565217391304,-0.4585860770511193,0.5392180583128523,-0.09961211100553637,1.0578798028725258,423,0.14184397163120568,-0.1363916158460691,0.8528508483855128,-0.08070827787192322,1.3772922494266293
pullback,short,0,trail3.0,826,0.09322033898305085,-0.46748740230751795,0.5404617076628809,-0.10349754090140706,1.1778941936193636,423,0.1347517730496454,-0.1039642529166638,0.8899851904661025,-0.08577282303657746,1.584064945288533
pullback,short,20,fixed2.0,195,0.2923076923076923,-0.18549870494922904,0.7508521711757966,-0.08127148934637914,0.1598286951899053,95,0.35789473684210527,0.02245367848256621,1.033191095661173,-0.09008445875267505,0.17025505834890528
pullback,short,20,fixed3.0,193,0.19170984455958548,-0.3057888117970217,0.6400836586596488,-0.09334338396142365,0.30437571884082804,95,0.24210526315789474,-0.08280947941217065,0.8961776436166636,-0.09521961595380486,0.38962426949930556
pullback,short,20,trail2.5,192,0.11458333333333333,-0.5843393300604692,0.42590473194471146,-0.12073960674310087,0.9249690588357691,95,0.1368421052631579,-0.1960324641888407,0.7995554588143786,-0.10009085641205935,1.5098668195624405
pullback,short,20,trail3.0,191,0.09424083769633508,-0.6861361668966206,0.34018401339320437,-0.12508526710943133,0.9349075610418043,95,0.1368421052631579,-0.3177271946764226,0.6784433845717973,-0.10672778167734975,1.5236566474306834
pullback,short,25,fixed2.0,67,0.23880597014925373,-0.3374757355789596,0.579752932388594,-0.04677078771973669,0.11237524774831015,27,0.2222222222222222,-0.3859931679960425,0.5296982990783953,-0.013907939774207876,0.09321825642237105
pullback,short,25,fixed3.0,66,0.15151515151515152,-0.44782435589400116,0.4993154719628279,-0.06336091158655749,0.1894777464421735,27,0.14814814814814814,-0.46006724207011657,0.48739397248203686,-0.014192927963158582,0.22737955059963766
pullback,short,25,trail2.5,66,0.07575757575757576,-0.6026038084636246,0.41880478313609254,-0.08895099423893404,0.7118122085978145,27,0.14814814814814814,0.15404821722211068,1.1789673619123915,-0.014192927963158582,1.6751676675737952
pullback,short,25,trail3.0,66,0.06060606060606061,-0.6859520380934738,0.34586175032379435,-0.09655317690340026,0.7118122085978145,27,0.14814814814814814,-0.0019129939251617916,0.9977775563890686,-0.014192927963158582,1.6751676675737952
breakout,long,0,fixed2.0,311,0.42443729903536975,0.22185988735079903,1.3756933622295535,-1.284003160152232,1.6190451829694372,132,0.4090909090909091,0.17353470463786813,1.2831503917975433,-1.402845574983947,1.5442761022596792
breakout,long,0,fixed3.0,310,0.3580645161290323,0.3039160320856649,1.4623452763825437,-1.358753579402133,1.8550396479955191,132,0.3333333333333333,0.19209454241090715,1.2778933439490698,-1.527783724793471,1.750388167101723
breakout,long,0,trail2.5,309,0.3074433656957929,0.411049674420223,1.5745021248366942,-1.432931984726586,3.0177571568474857,132,0.25,-0.2239008272292055,0.7070918945596013,-1.6034083833375388,2.3568349154324877
breakout,long,0,trail3.0,307,0.2671009771986971,0.4696696335512723,1.6168945990377948,-1.498159339930951,3.1997097590591363,132,0.2196969696969697,-0.048777617196308576,0.9380938161257282,-1.6595790650161437,2.7257389142880575
breakout,long,20,fixed2.0,125,0.432,0.24113555266420528,1.4065140250853405,-1.3094184322346305,1.5833060529057754,50,0.48,0.3758652021909405,1.6963150694179299,-1.2631348237176767,1.7787126048681374
breakout,long,20,fixed3.0,124,0.3548387096774194,0.31541451592602815,1.4726044175504192,-1.3836395476750514,1.8524226037348532,50,0.42,0.5671746569862275,1.9412253252439895,-1.3867306946153315,2.073316354105714
breakout,long,20,trail2.5,124,0.29838709677419356,0.7024941843085193,2.0155210688620553,-1.4573423130115837,3.2695445463115766,50,0.32,0.20473441189567265,1.296640409237862,-1.5439144792337884,3.2833777779217272
breakout,long,20,trail3.0,124,0.2661290322580645,0.7238932642510766,1.9791247204659832,-1.5014144912678176,3.396088914645848,50,0.3,0.5899206215297068,1.833515756649104,-1.5733420823363469,3.9927177602434396
breakout,long,25,fixed2.0,42,0.42857142857142855,0.24467973904079024,1.4083300144975253,-1.2381176726449912,1.5832863937690589,20,0.45,0.31675191445183265,1.5554167854119936,-1.293855480980516,1.5927021089417015
breakout,long,25,fixed3.0,42,0.38095238095238093,0.38797072299803537,1.5986923758533715,-1.3108142607347786,1.8224233794773343,20,0.4,0.4950255514400501,1.794595155645711,-1.4463583554498283,1.9060538414494523
